Number,Name,Address1,Address2,Province,City,Postal,Latitude,Longitude
75,Stoney Creek,640 Queenston Road,Zellers Centre,Ontario,Hamilton,L8K 1K2,43.22955959999999,-79.7762559
76,Windsor-Tecumseh Road,9 7654 Tecumseh Road E,null,Ontario,Windsor,N8T 1E9,42.3149718,-82.935537
77,Hamilton,1508 Upper James Street,Unit F Upper James Square,Ontario,Hamilton,L9B 1K3,43.2064302,-79.8923089
78,St Catharines,285 Geneva Street,Fairview Mall,Ontario,St. Catharines,L2N 2G1,43.1777434,-79.24445179999999
79,Sarnia,1380 London Road,null,Ontario,Sarnia,N7S 1P8,42.9826053,-82.3516776
80,Barrie 2,411 Bayfield Street,Unit B5-B7 Springwater Marketplace,Ontario,Barrie,L4M 6E5,44.4095253,-79.7060164
81,Prince George,699 Central Street W,Spruceland Mall,British Columbia,Prince George,V2M 3C6,53.91878380000001,-122.7835653
82,Toronto Stockyards,590 Keele Street,Toronto Stockyards,Ontario,Toronto,M6N 3E2,43.6711116,-79.4677324
83,Rexdale - Etobicoke,55 Woodbine Downs Blvd,null,Ontario,Etobicoke,M9W 6N5,43.7378532,-79.60620089999999
84,Mississauga 84,1180 Dundas Street E,null,Ontario,Mississauga,L4Y 2C1,43.6043776,-79.5886539
85,Sudbury 85,1425 Kingsway Road,RioCan Centre Sudbury,Ontario,Sudbury,P3A 4R7,46.5028654,-80.9485258
86,Mississauga North,5950 Rodeo Drive,Unit 5 Heartland Town Centre,Ontario,Mississauga,L5R 3V6,43.6134041,-79.6924344
87,Woodbridge,200 Windflower Gate,Suite 500 Westridge Shopping Centre,Ontario,Woodbridge,L4L 9L3,43.7910555,-79.553359
90,Devonshire,3100 Howard Avenue,Unit D2,Ontario,Windsor,N8X 3Y8,42.2746699,-83.00355619999999
91,Sussex,138 Main Street,Units 4-6 Gateway Mall,New Brunswick,Sussex,E4E 3E1,45.7275332,-65.53018899999999
92,St Leonard,7999 Boul Les Galeries D'Anjou,Unit B-018A,Quebec,Anjou,H1M 1W9,45.600518,-73.56451700000001
93,Lasalle,6817 Newman Boul,Unit 7,Quebec,Lasalle,H8N 3E4,45.4493959,-73.6088949
95,Pointe Claire,183A Boul Hymus,Terrarium S.C.,Quebec,Pointe-Claire,H9R 1E9,45.4620423,-73.81849679999999
96,Centre Laval,1600 Boul Le Corbusier,Local 115 Centre Laval,Quebec,Laval,H7S 1Y9,45.5617682,-73.7315782
97,Hull,45 Boul de Plateau,Unit 3,Quebec,Gatineau,J9A 3G1,45.4343768,-75.76988949999999
98,Valleyfield,1940 Monseigneur-Langlois,Unit 110,Quebec,Salaberry-de-Valleyfield,J6S 5R1,45.27089,-74.12088349999999
100,Rimouski,407 Montee Industrielle et Commerciale,null,Quebec,Rimouski,G5M 1Y1,48.45512120000001,-68.4953726
101,Mascouche,139 Montee Masson,Mega Centre Mascouche,Quebec,Mascouche,J7K 3B4,45.7224868,-73.6138337
103,Riviere-du-Loup,298 Boul Armand-Theriault,Local 75,Quebec,Riviere-du-Loup,G5R 4C2,47.82459249999999,-69.5482516
104,Ste-Foy,1479 Avenue Jules-Vernes,null,Quebec,Quebec,G2G 2R8,46.8138783,-71.2079809
105,Saint-Constant,510 Voie de Desserte,Route 132,Quebec,Saint-Constant,J5A 2E7,45.39017310000001,-73.58769269999999
106,Beauport,709 Rue Clemenceau,null,Quebec,Quebec,G1C 7T9,46.8722676,-71.20128509999999
107,Quebec 1,550 Boul Wilfrid-Hamel,Local F22 Place Fleur de Lys,Quebec,Quebec,G1M 2S6,46.8208806,-71.2521854
108,Levis,98 Route du President-Kennedy,Unit A Place Kennedy,Quebec,Levis,G6V 6C9,46.7905039,-71.17185069999999
109,Laval 3,600 Chomedey A13,null,Quebec,Laval,H7X 3S9,45.5428816,-73.73794480000001
111,Trois Rivieres-Ouest,3325 Boul des Recollets,null,Quebec,Trois-Rivieres,G9A 6M1,46.3309333,-72.5669355
113,Saint-Jean-Sur-Richelieu,50 Boul Omer-Marcil,null,Quebec,Saint-Jean-Sur-Richelieu,J2W 2X2,45.3315787,-73.2983752
114,Marche Central,835 Rue Chabanel O,Marche Central,Quebec,Montreal,H4N 3J7,45.535747,-73.65740199999999
115,Sherbrooke,1310 Boul Plateau St-Joseph,null,Quebec,Sherbrooke,J1L 3E2,45.419245,-71.9675683
117,Repentigny,445 Rue Leclerc,null,Quebec,Repentigny,J6A 8J4,45.7455,-73.4542
118,Joliette,1075 Boul Firestone,Les Galeries Joliette,Quebec,Joliette,J6E 6X6,46.0327605,-73.4246143
119,Carrefour Ste-Agathe,40 Boul Norbert-Morin,Unit 199B,Quebec,Sainte-Agathe-Des-Monts,J8C 2V6,46.0460727,-74.27867259999999
120,Port Hawkesbury,47 Paint Street,Unit 2 Port Hawkesbury Shopping Centre,Nova Scotia,Port Hawkesbury,B9A 3J9,45.6166414,-61.3339945
121,Halifax,7010 Mumford Road,Halifax Shopping Centre,Nova Scotia,Halifax,B3L 4W7,44.648105,-63.62227649999999
122,Bayers Lake,209 Chain Lake Drive,Bayers Lake Centre,Nova Scotia,Halifax,B3S 1C1,44.6520223,-63.6773834
123,New Glasgow,689 Westville Road,Highland Square Mall,Nova Scotia,New Glasgow,B2H 2J6,45.579901,-62.6668126
124,Sydney,800 Grand Lake Road,Unit P1 Mayflower Mall,Nova Scotia,Sydney,B1P 6S9,46.1468291,-60.1384554
125,Saint John,171 McAllister Drive,Exhibition Plaza,New Brunswick,Saint John,E2J 2S6,45.3114206,-66.01607510000001
126,Dartmouth Penhorn Mall,569 Portland Street,Unit 160 Penhorn Plaza,Nova Scotia,Dartmouth,B2Y 4B1,44.6726251,-63.53843639999999
127,Truro,245 Robie Street,Unit 137,Nova Scotia,Truro,B2N 5N6,45.3709469,-63.30318920000001
128,Bedford,1595 Bedford Highway,Suite 199 Sunnyside Mall,Nova Scotia,Bedford,B4A 3Y4,44.7330744,-63.654546
129,Fredericton,1144 Prospect Street,null,New Brunswick,Fredericton,E3B 3C1,45.9395499,-66.6647351
131,Yarmouth,76 Starrs Rd,Unit 2 Yarmouth Mall,Nova Scotia,Yarmouth,B5A 2T5,43.84477580000001,-66.10530300000001
132,Brampton N.E.,10 Coventry Road,Unit 4,Ontario,Brampton,L6T 5P9,43.7397009,-79.69779059999999
133,Courtenay,3267 Cliffe Avenue,null,British Columbia,Courtenay,V9N 2L9,49.66660719999999,-124.9787334
134,Kingsgate,117 370 E Broadway,Kingsgate Mall,British Columbia,Vancouver,V5T 4G5,49.2623832,-123.0971025
136,Salmon Arm,1151 10 Avenue SW,Unit 400,British Columbia,Salmon Arm,V1E 1T3,50.6937446,-119.2985924
137,Quesnel,620A Newman Road,null,British Columbia,Quesnel,V2J 6Z8,52.96957219999999,-122.4396522
138,Queensway & 427,167 North Queen Street,Queensway & 427,Ontario,Etobicoke,M9C 1A7,43.617255,-79.5538581
139,Williams Lake,112 850 Oliver Street,Boitano Mall,British Columbia,Williams Lake,V2G 3W1,52.1288549,-122.1308808
141,Pickering,1899 Brock Road,Unit 30,Ontario,Pickering,L1V 4H7,43.844221,-79.06809679999999
142,Listowel,490 Mitchell Road S,null,Ontario,Listowel,N4W 3G7,43.7337538,-80.96667699999999
143,Niagara Falls,7190 Morrison Street,Building C,Ontario,Niagara Falls,L2E 7K5,43.10213410000001,-79.1174118
144,London-Wellington,1121 Wellington Road S,null,Ontario,London,N6E 1M1,42.9306986,-81.22165059999999
145,Armadale Square Markham,7700 Markham Road,Unit 2 Armdale Square,Ontario,Markham,L3S 4S1,43.8534227,-79.25722259999999
146,Cranbrook,2100 Willowbrook Drive,null,British Columbia,Cranbrook,V1C 7H2,49.52870739999999,-115.7477001
147,Essex,300 Maidstone Avenue W,RR2,Ontario,Essex,N8M 2X6,42.1772974,-82.84091599999999
149,Sault Ste. Marie,548 Great Northern Road,null,Ontario,Sault Ste. Marie,P6B 4Z9,46.543572,-84.31780049999999
150,Timmins,2185 Riverside Drive,null,Ontario,Timmins,P4R 0A1,48.4719509,-81.40401969999999
